Name,NO₂ (µg/m³),O₃ (µg/m³),Pollution Category
Ghaziabad,0.4102751654844992,256.98755639623926,4 - Borderline
Ghaziabad,0.231548871220385,263.56083960577826,3 - Satisfactory
Ghaziabad,0.2277682472805009,264.98083449112204,3 - Satisfactory
Ghaziabad,0.2589918417870227,267.5577020708975,3 - Satisfactory
Ghaziabad,0.289457184757118,268.64632066473905,3 - Satisfactory
Ghaziabad,0.3802797980776945,260.3767227775441,4 - Borderline
Ghaziabad,0.2358148986108381,273.9460433183744,3 - Satisfactory
Ghaziabad,0.194069962901392,275.4266641864496,3 - Satisfactory
Ghaziabad,0.1577084338801984,272.0257683770564,3 - Satisfactory
Ghaziabad,0.1798797565974072,271.5331323973465,3 - Satisfactory
Ghaziabad,0.2318983658866035,268.10510729849733,3 - Satisfactory
Ghaziabad,0.2171630906822165,267.98500433823506,3 - Satisfactory
Ghaziabad,0.3522708196968458,261.67163568009016,4 - Borderline
Ghaziabad,0.2839624971510416,269.5201391197113,3 - Satisfactory
Ghaziabad,0.3017135584101061,272.1250934932765,4 - Borderline
Ghaziabad,0.2381286635217354,263.84528222652165,3 - Satisfactory
Ghaziabad,0.3829707322677116,251.2610740610554,4 - Borderline
Ghaziabad,0.1943872277701788,267.5883900847939,3 - Satisfactory
Ghaziabad,0.2064971186366931,276.17990092899265,3 - Satisfactory
Ghaziabad,0.2096793705496533,274.6649056553362,3 - Satisfactory
Ghaziabad,0.1457671595164664,268.0460931147278,3 - Satisfactory
Ghaziabad,0.2732662667322111,268.55864518457946,3 - Satisfactory
Ghaziabad,0.294742602705357,267.2862495922819,3 - Satisfactory
Ghaziabad,0.1977219962222366,268.1370241096221,3 - Satisfactory
Ghaziabad,0.1752897734441684,266.26537443005253,3 - Satisfactory
Ghaziabad,0.1585465280936731,271.98644686575074,3 - Satisfactory
Ghaziabad,0.2680657693716443,266.8037791169153,3 - Satisfactory
Ghaziabad,0.4581847145616516,250.9862543588661,4 - Borderline
Ghaziabad,0.1649834518861117,268.4272436731791,3 - Satisfactory
Ghaziabad,0.2070027142495086,273.3110902778595,3 - Satisfactory
Ghaziabad,0.2305908785760569,273.06788417708924,3 - Satisfactory
Ghaziabad,0.3110529412401176,272.6455609322871,4 - Borderline
Ghaziabad,0.2293630845922459,268.9987780099892,3 - Satisfactory
Ghaziabad,0.2652739042404579,270.52708259388464,3 - Satisfactory
Ghaziabad,0.2046207559859361,268.6713434446608,3 - Satisfactory
Ghaziabad,0.209743725599298,271.63271284805563,3 - Satisfactory
Ghaziabad,0.3391221974070804,263.7756397446475,4 - Borderline
Ghaziabad,0.467246246070338,270.54109407396845,4 - Borderline
Ghaziabad,0.2689086726651806,262.38724250231724,3 - Satisfactory
Ghaziabad,0.267705655898209,268.3796557077921,3 - Satisfactory
Ghaziabad,0.4348721164966476,271.38682573515086,4 - Borderline
Ghaziabad,0.393759470270088,269.3748857122827,4 - Borderline
Ghaziabad,0.2428310775902041,263.40425573040045,3 - Satisfactory
Ghaziabad,0.260263679177982,263.76812333562765,3 - Satisfactory
Ghaziabad,0.4225402611957357,267.0321598589181,4 - Borderline
Ghaziabad,0.6399311409745363,267.60835405015246,5 - Poor
Ghaziabad,0.3207362180996299,265.1066186437645,4 - Borderline
Ghaziabad,0.2801954342195301,262.7329494420145,3 - Satisfactory
Ghaziabad,0.4546514744793482,279.3930301385392,4 - Borderline
Ghaziabad,0.3057397740038211,261.8695837426856,4 - Borderline
Ghaziabad,0.450665284769376,261.5275312778621,4 - Borderline
Ghaziabad,0.4242026197837498,261.67811479274843,4 - Borderline
Ghaziabad,0.3957340008812336,260.83223950591594,4 - Borderline
Ghaziabad,0.3514598773701788,257.0137281813616,4 - Borderline
Ghaziabad,0.2739115795623453,258.21041709767127,3 - Satisfactory
Ghaziabad,0.3175773395105717,260.6045130585412,4 - Borderline
Ghaziabad,0.4242573417382401,256.8295522227664,4 - Borderline
Ghaziabad,1.415811928545176,251.50108848071324,6 - Very Poor
Ghaziabad,0.3520810551898174,253.8622462925024,4 - Borderline
Ghaziabad,0.5235867098967899,257.50802383524984,5 - Poor
Ghaziabad,0.3520810551898174,246.30330812181012,4 - Borderline
Ghaziabad,0.281081977674371,250.86817811611027,3 - Satisfactory
Ghaziabad,0.3410365995824244,239.05622911261744,4 - Borderline
Ghaziabad,0.5064732549917361,241.857056956055,5 - Poor
Ghaziabad,0.4110220365271151,244.18688841772527,4 - Borderline
Ghaziabad,0.5250252521065317,249.32145753219584,5 - Poor
Ghaziabad,0.3495320336667123,258.5013867062897,4 - Borderline
Ghaziabad,0.3507045232298144,258.09492611661653,4 - Borderline
Ghaziabad,0.3364976643659889,263.5396468431914,4 - Borderline
Ghaziabad,0.3871687604608957,262.8626434040197,4 - Borderline
Ghaziabad,0.402806245967902,253.38804227121705,4 - Borderline
Ghaziabad,1.426026295115843,238.6477418054379,6 - Very Poor
Ghaziabad,0.3672505962977826,260.054203401129,4 - Borderline
Ghaziabad,0.3711617822808308,254.73097401610025,4 - Borderline
Ghaziabad,0.3338743559974597,254.2253478942626,4 - Borderline
Ghaziabad,0.4371036192554347,257.763741325981,4 - Borderline
Ghaziabad,0.5910339084109363,264.3560150381392,5 - Poor
Ghaziabad,0.3962884191111967,271.91667671663214,4 - Borderline
Ghaziabad,0.3405281513786406,268.9512219614133,4 - Borderline
Ghaziabad,0.3425095819742225,263.47554192804745,4 - Borderline
Ghaziabad,0.4030647116186682,259.7469721772425,4 - Borderline
Ghaziabad,0.3602660795846611,260.8641563170406,4 - Borderline
Ghaziabad,1.484688230329316,256.1619323260653,6 - Very Poor
Ghaziabad,0.2439598075117515,264.03970348148783,3 - Satisfactory
Ghaziabad,0.2857422749547222,259.6295183123036,3 - Satisfactory
Ghaziabad,0.3370965889890689,259.3775670052852,4 - Borderline
Ghaziabad,0.4501157054895371,257.1829191971336,4 - Borderline
Ghaziabad,0.7356959353552259,256.35475774047524,5 - Poor
Ghaziabad,0.3121757568892911,250.09049309624564,4 - Borderline
Ghaziabad,0.3757987809124362,253.43140125912996,4 - Borderline
Ghaziabad,0.3298126248994386,254.1554819947106,4 - Borderline
Ghaziabad,0.3681479527152466,258.05408855678246,4 - Borderline
Ghaziabad,0.4060240283201995,263.33130985857497,4 - Borderline
Ghaziabad,2.043211204280336,283.5698555431851,6 - Very Poor
Ghaziabad,0.3835796036216023,257.1775571728646,4 - Borderline
Ghaziabad,0.5412029974338786,251.4627883073636,5 - Poor
Ghaziabad,0.3596264121963383,245.90632682504105,4 - Borderline
Ghaziabad,0.5224607877611169,249.9076416853122,5 - Poor
Ghaziabad,0.2599061046598586,249.31713280428843,3 - Satisfactory
Ghaziabad,0.2947750415932262,246.60564011518892,3 - Satisfactory
Ghaziabad,0.511845027290647,245.35448516069485,5 - Poor
Ghaziabad,0.6259980113634117,245.7577700276611,5 - Poor
Ghaziabad,0.30761256718211,251.36011192597545,4 - Borderline
Ghaziabad,0.4315752382188643,248.67255684521945,4 - Borderline
Ghaziabad,0.3531570644510618,293.8394086906709,4 - Borderline
Ghaziabad,0.317648370519184,248.05150357594928,4 - Borderline
Ghaziabad,0.264997277591695,251.83045401311463,3 - Satisfactory
Ghaziabad,0.30585722308955,251.82743787446333,4 - Borderline
Ghaziabad,0.3347938760012947,244.49922633139164,4 - Borderline
Ghaziabad,0.3520810551898174,252.2097374381151,4 - Borderline
Ghaziabad,0.3520810551898174,247.53895150609765,4 - Borderline
Ghaziabad,0.2767853782749546,253.6053159629485,3 - Satisfactory
Ghaziabad,0.3739673577707023,259.91086500236787,4 - Borderline
Ghaziabad,0.2748302632044304,265.5988077881186,3 - Satisfactory
Ghaziabad,0.3013319683617371,265.6288734241981,4 - Borderline
Ghaziabad,0.3369526750279698,303.46858293975055,4 - Borderline
Ghaziabad,0.3207156674966336,262.3537298506363,4 - Borderline
Ghaziabad,0.3290082241164579,266.071990471448,4 - Borderline
Ghaziabad,0.5071679729052364,262.0320083944992,5 - Poor
Ghaziabad,0.3035360802732165,255.24201003742348,4 - Borderline
Ghaziabad,0.3473733242502247,258.7885422559787,4 - Borderline
Ghaziabad,0.7652226713515522,261.8155007062348,5 - Poor
Ghaziabad,0.3849104941261135,239.50138883577927,4 - Borderline
Ghaziabad,0.1981843399845599,255.44683617281623,2 - Good
Ghaziabad,0.2323283006311201,275.70220201688915,3 - Satisfactory
Ghaziabad,0.3489409350000059,278.05788609557044,4 - Borderline
Ghaziabad,0.2713213074829351,299.0846493477164,4 - Borderline
Ghaziabad,0.2793618205154297,276.0004007832273,3 - Satisfactory
Ghaziabad,0.2763922285124001,260.19877059711825,3 - Satisfactory
Ghaziabad,0.304962823808273,265.7347255282932,4 - Borderline
Ghaziabad,0.3638250377907724,265.968978963543,4 - Borderline
Ghaziabad,0.7808585737452464,287.7261584382779,5 - Poor
Ghaziabad,1.2126472335606349,268.3587501965054,6 - Very Poor
Ghaziabad,0.7360770773526576,257.8704871007876,5 - Poor
Ghaziabad,0.3889511967001384,260.53404073957773,4 - Borderline
Ghaziabad,0.5170074701915957,261.1676053988088,5 - Poor
Ghaziabad,0.3763474043502752,275.562151049674,4 - Borderline
Ghaziabad,0.2483917481643312,293.07388397584475,4 - Borderline
Ghaziabad,0.329584148791417,276.64119460017804,4 - Borderline
Ghaziabad,0.3520810551898174,292.49666844665444,4 - Borderline
Ghaziabad,0.4671297826966714,296.0472221834114,4 - Borderline
Ghaziabad,0.1911873973254405,282.56769959068043,3 - Satisfactory
Ghaziabad,0.4013928842208432,269.315584277213,4 - Borderline
Ghaziabad,0.5654786361837723,270.978641637677,5 - Poor
Ghaziabad,0.6965276211066298,271.5990725291302,5 - Poor
Ghaziabad,1.131383219458718,273.34504976489615,6 - Very Poor
Ghaziabad,0.852762086882968,260.9916001438616,5 - Poor
Ghaziabad,0.3520810551898174,258.23850389146105,4 - Borderline
Ghaziabad,0.284433786997082,279.5671044264134,3 - Satisfactory
Ghaziabad,0.1639901080228212,265.33558984677313,3 - Satisfactory
Ghaziabad,0.2202073429064515,274.78277443881973,3 - Satisfactory
Ghaziabad,0.4210188893026962,275.03545983249404,4 - Borderline
Ghaziabad,0.4620895083513259,273.61522557106684,4 - Borderline
Ghaziabad,0.2661252010215551,272.69509582315266,3 - Satisfactory
Ghaziabad,0.2221566183797579,292.8001654036393,4 - Borderline
Ghaziabad,0.3345002831570349,292.7930798715696,4 - Borderline
Ghaziabad,0.8313089898184427,284.2921010621261,5 - Poor
Ghaziabad,0.3906041163484043,279.34288882826223,4 - Borderline
Ghaziabad,0.316333311147795,273.4658229781921,4 - Borderline
Ghaziabad,0.8168011602049213,274.8965578704793,5 - Poor
Ghaziabad,0.5776064192177208,260.2902920530184,5 - Poor
Ghaziabad,0.7132406976940057,268.4641714236503,5 - Poor
Ghaziabad,0.3798103900455912,274.0921584797033,4 - Borderline
Ghaziabad,0.9830580475303358,268.4348717910379,5 - Poor
Ghaziabad,0.2911491147070019,273.9724704379857,3 - Satisfactory
Ghaziabad,0.529432042166491,273.5222199834494,5 - Poor
Ghaziabad,0.2386989427548831,281.2365451491023,3 - Satisfactory
Ghaziabad,0.2426771272881067,278.04990689278924,3 - Satisfactory
Ghaziabad,0.5902694737715735,289.8931822464009,5 - Poor
Ghaziabad,0.1851853667078926,289.08252716064453,3 - Satisfactory
Ghaziabad,0.8055017934841989,273.79351287800944,5 - Poor
Ghaziabad,0.1972016149284862,293.7973104167974,4 - Borderline
Ghaziabad,0.2005749008261309,278.53325508046186,3 - Satisfactory
Ghaziabad,0.2591829205768009,264.75725722919344,3 - Satisfactory
Ghaziabad,0.383068706072694,263.0474736572429,4 - Borderline
Ghaziabad,0.3721893124306464,264.9394383870933,4 - Borderline
Ghaziabad,0.2905201109309898,268.106798889487,3 - Satisfactory
Ghaziabad,0.3794489324193436,266.06568690125084,4 - Borderline
Ghaziabad,0.5852557837818482,278.270452057661,5 - Poor
Ghaziabad,0.2572844391447666,305.80320192308955,4 - Borderline
Ghaziabad,0.2558478982292119,301.81315369714537,4 - Borderline
Ghaziabad,0.2199795538098674,267.9508533503316,3 - Satisfactory
Ghaziabad,0.4367595758756215,261.10827204692794,4 - Borderline
Ghaziabad,0.629613125287013,293.4579389641084,5 - Poor
Ghaziabad,0.636528582415647,265.4933546441626,5 - Poor
Ghaziabad,1.6761872321467004,256.46343448235484,6 - Very Poor
Ghaziabad,0.4423754761953012,263.1172916815782,4 - Borderline
Ghaziabad,0.5176642531257277,264.53430234508187,5 - Poor
Ghaziabad,0.2255376406235887,281.3290081509305,3 - Satisfactory
Ghaziabad,0.323680838730414,286.4747960245115,4 - Borderline
Ghaziabad,0.3116294035762016,295.18128718078697,4 - Borderline
Ghaziabad,0.2775005870513262,283.93884579659783,3 - Satisfactory
Ghaziabad,0.6870600060983288,286.59802683226394,5 - Poor
Ghaziabad,0.5915391903880955,284.9692481269479,5 - Poor
Ghaziabad,0.4010661953473393,280.86602288875554,4 - Borderline
Ghaziabad,0.4970226957891194,289.29729538270266,4 - Borderline
Ghaziabad,1.1419894812493143,274.9825417596493,6 - Very Poor
Ghaziabad,0.5543813703058886,268.49047087601707,5 - Poor
Ghaziabad,0.7873105072440885,285.24395612029826,5 - Poor
Ghaziabad,0.3140577799168909,290.62873707558094,4 - Borderline
Ghaziabad,0.2721821626840306,304.12364357127404,4 - Borderline
Ghaziabad,0.3008668616186331,285.3991356559866,4 - Borderline
Ghaziabad,0.2251435350190344,277.3811220324821,3 - Satisfactory
Ghaziabad,0.3102281989445781,280.7155670411137,4 - Borderline
Ghaziabad,0.9801217606469876,312.40838598534765,5 - Poor
Ghaziabad,1.4448197020757203,290.49813348445866,6 - Very Poor
Ghaziabad,0.4054792282503598,304.2276923755406,4 - Borderline
Ghaziabad,0.1845998238728102,298.0372353570369,4 - Borderline
Ghaziabad,0.2023813974007129,297.7379833359316,4 - Borderline
Ghaziabad,0.3006509906769843,291.7274094649268,4 - Borderline
Ghaziabad,0.4184390120050342,287.790438895883,4 - Borderline
Ghaziabad,0.5485283315600641,284.26982312796105,5 - Poor
Ghaziabad,0.3855224719665037,279.1185455628667,4 - Borderline
Ghaziabad,0.2712679595513197,283.129882301831,3 - Satisfactory
Ghaziabad,0.247917874557885,277.06983737358286,3 - Satisfactory
Ghaziabad,0.4041593000587842,275.0857288100155,4 - Borderline
Ghaziabad,0.9101454639414204,276.08028856147246,5 - Poor
Ghaziabad,0.3426487465953851,297.38558982430374,4 - Borderline
Ghaziabad,0.2740660077854426,298.91166023142046,4 - Borderline
Ghaziabad,0.2163226367338049,300.9125251208284,4 - Borderline
Ghaziabad,0.2214981477870949,304.4105118696629,4 - Borderline
Ghaziabad,0.2360894940953514,281.03007529793655,3 - Satisfactory
Ghaziabad,0.3495289869203379,267.7716723726776,4 - Borderline
Ghaziabad,0.4227507555261354,259.52725684946,4 - Borderline
Ghaziabad,0.4581006004656667,259.12212080744854,4 - Borderline
Ghaziabad,0.2460922312732439,255.75421102235276,3 - Satisfactory
Ghaziabad,0.6503964160701584,264.4944542063926,5 - Poor
Ghaziabad,0.3539817470064763,262.90713543872755,4 - Borderline
Ghaziabad,0.2026247786699193,267.6981360398462,3 - Satisfactory
Ghaziabad,0.2373267568889731,274.8136060783662,3 - Satisfactory
Ghaziabad,0.3220296814158352,285.90201693206745,4 - Borderline
Ghaziabad,0.2661181815568688,283.37809934194786,3 - Satisfactory
Ghaziabad,0.2482899957964432,278.4046303316293,3 - Satisfactory
Ghaziabad,0.2793733802296151,260.7125355057927,3 - Satisfactory
Ghaziabad,0.3537291358879591,256.36420511656814,4 - Borderline
Ghaziabad,0.2326047629945392,263.44491774777333,3 - Satisfactory
Ghaziabad,0.2284125445285103,270.2413952175074,3 - Satisfactory
Ghaziabad,0.6253716958930242,294.6358288786657,5 - Poor
Ghaziabad,0.2168073681079679,271.5946041755727,3 - Satisfactory
Ghaziabad,0.499070587273752,271.9029205710374,4 - Borderline
Ghaziabad,0.3630597667896597,276.9082744756696,4 - Borderline
Ghaziabad,0.6532279187742752,269.86097874571203,5 - Poor
Ghaziabad,0.5284459119232929,280.8526816617054,5 - Poor
Ghaziabad,0.2885988087712096,282.271735001121,3 - Satisfactory
Ghaziabad,0.5112013274438875,279.09103327167725,5 - Poor
Ghaziabad,0.4485250947916351,270.3447418519292,4 - Borderline
Ghaziabad,0.3332354353606993,275.67867932709026,4 - Borderline
Ghaziabad,0.3375177867403059,276.95139408749907,4 - Borderline
Ghaziabad,0.468224221786475,286.7158956157475,4 - Borderline
Ghaziabad,0.3163584020002905,282.6903239790216,4 - Borderline
Ghaziabad,0.3641255306194684,266.51620864868164,4 - Borderline
Ghaziabad,0.4482427032208107,269.2218126861286,4 - Borderline
Ghaziabad,0.4463859502660814,270.9410755509832,4 - Borderline
Ghaziabad,0.3557604793579697,275.8896494486246,4 - Borderline
Ghaziabad,0.3480433694921045,278.6824023388476,4 - Borderline
Ghaziabad,0.2877949157792914,288.6938123179567,3 - Satisfactory
Ghaziabad,0.4870222287359766,285.89020771195135,4 - Borderline
Ghaziabad,0.3181089668828514,289.9567286173503,4 - Borderline
Ghaziabad,0.3966976688374357,294.60011396701714,4 - Borderline
Ghaziabad,0.3774400512363291,283.8297860529847,4 - Borderline
Ghaziabad,0.316748594626658,287.2252879212978,4 - Borderline
Ghaziabad,0.3046660049972637,278.1414443070949,4 - Borderline
Ghaziabad,0.346307261719791,273.329378610634,4 - Borderline
Ghaziabad,0.3047330334175017,275.81738978823824,4 - Borderline
Ghaziabad,0.280354850743064,276.43016064502154,3 - Satisfactory
Ghaziabad,0.3520810551898174,279.5558377920863,4 - Borderline
Ghaziabad,0.3890404185768099,280.1761729331061,4 - Borderline
